sales_month,Channel,ticket_zone,orders,passengers,total_ticket_value,total_margin,fee_old_scheme,fee_new_scheme,fee_delta,fee_delta_pct_of_margin
2022-05,Jetradar,>$500 (fee down),82,184,135353.57,2483.02,0.0,0.0,0.0,0.0
2022-05,Kayak Group,<$262.50 (fee up),1,1,102.25,16.13,0.0,0.0,0.0,0.0
2022-05,Kayak Group,$262.50-500 (about even),76,81,30466.98,-499.65,0.0,0.0,0.0,-0.0
2022-05,Kayak Group,>$500 (fee down),496,893,1096251.14,9260.25,0.0,0.0,0.0,0.0
2022-05,Other,<$262.50 (fee up),26,30,4825.44,194.11,0.0,0.0,0.0,0.0
2022-05,Other,$262.50-500 (about even),28,34,10338.9,117.97,0.0,0.0,0.0,0.0
2022-05,Other,>$500 (fee down),39,69,50139.87,2396.78,0.0,0.0,0.0,0.0
2022-06,Aeroprice,<$262.50 (fee up),3643,4352,356903.44,-8085.76,14276.14,38251.5,23975.36,-296.51
2022-06,Aeroprice,$262.50-500 (about even),493,760,183461.5,3216.25,7338.46,6982.84,-355.62,-11.06
2022-06,Aeroprice,>$500 (fee down),1439,2594,2497664.98,40908.24,34277.83,27341.0,-6936.83,-16.96
2022-06,Direct,<$262.50 (fee up),314,360,38640.38,568.99,0.0,0.0,0.0,0.0
2022-06,Direct,$262.50-500 (about even),83,132,30846.32,1093.37,0.0,0.0,0.0,0.0
2022-06,Direct,>$500 (fee down),576,914,1085675.24,14538.22,0.0,0.0,0.0,0.0
2022-06,Google Flights,<$262.50 (fee up),437,469,64444.69,284.91,0.0,0.0,0.0,0.0
2022-06,Google Flights,$262.50-500 (about even),252,297,98531.27,2038.94,0.0,0.0,0.0,0.0
2022-06,Google Flights,>$500 (fee down),1780,2592,3182114.88,44067.43,0.0,0.0,0.0,0.0
2022-06,Jetcost,<$262.50 (fee up),63,100,10718.17,621.86,0.0,0.0,0.0,0.0
2022-06,Jetcost,$262.50-500 (about even),63,101,23437.22,700.01,0.0,0.0,0.0,0.0
2022-06,Jetcost,>$500 (fee down),80,181,96030.59,2746.08,0.0,0.0,0.0,0.0
2022-06,Jetradar,<$262.50 (fee up),50,62,8926.43,787.6,0.0,0.0,0.0,0.0
2022-06,Jetradar,$262.50-500 (about even),74,112,26050.76,750.69,0.0,0.0,0.0,0.0
2022-06,Jetradar,>$500 (fee down),109,258,176810.44,4976.12,0.0,0.0,0.0,0.0
2022-06,Kayak Group,<$262.50 (fee up),6,9,874.91,-7.47,0.0,0.0,0.0,-0.0
2022-06,Kayak Group,$262.50-500 (about even),63,75,26269.21,-430.71,0.0,0.0,0.0,-0.0
2022-06,Kayak Group,>$500 (fee down),502,865,1173851.23,9591.35,0.0,0.0,0.0,0.0
2022-06,Other,<$262.50 (fee up),23,29,3458.08,86.94,0.0,0.0,0.0,0.0
2022-06,Other,$262.50-500 (about even),22,25,7882.31,154.08,0.0,0.0,0.0,0.0
2022-06,Other,>$500 (fee down),43,97,99328.88,2099.51,0.0,0.0,0.0,0.0
2022-07,Aeroprice,<$262.50 (fee up),4200,5186,418475.21,-11964.67,16739.01,44100.0,27360.99,-228.68
2022-07,Aeroprice,$262.50-500 (about even),567,958,208122.33,1441.92,8324.89,7922.51,-402.39,-27.91
2022-07,Aeroprice,>$500 (fee down),1527,2646,2503550.62,33628.01,36345.22,29013.0,-7332.22,-21.8
2022-07,Direct,<$262.50 (fee up),564,699,66558.33,688.11,0.0,0.0,0.0,0.0
2022-07,Direct,$262.50-500 (about even),130,234,46866.16,2439.88,0.0,0.0,0.0,0.0
2022-07,Direct,>$500 (fee down),435,708,738120.56,22449.43,0.0,0.0,0.0,0.0
2022-07,Google Flights,<$262.50 (fee up),1405,1557,177996.16,-2723.05,0.0,0.0,0.0,-0.0
2022-07,Google Flights,$262.50-500 (about even),493,656,186819.33,4050.38,0.0,0.0,0.0,0.0
2022-07,Google Flights,>$500 (fee down),2282,3343,3482860.76,52515.84,0.0,0.0,0.0,0.0
2022-07,Jetcost,<$262.50 (fee up),68,92,11099.5,372.83,0.0,0.0,0.0,0.0
2022-07,Jetcost,$262.50-500 (about even),53,93,19577.25,628.35,0.0,0.0,0.0,0.0
2022-07,Jetcost,>$500 (fee down),90,203,95132.52,3753.5,0.0,0.0,0.0,0.0
2022-07,Jetradar,<$262.50 (fee up),46,61,7599.2,134.86,0.0,0.0,0.0,0.0
2022-07,Jetradar,$262.50-500 (about even),57,94,21210.01,962.62,0.0,0.0,0.0,0.0
2022-07,Jetradar,>$500 (fee down),74,155,86720.07,3423.53,0.0,0.0,0.0,0.0
2022-07,Kayak Group,<$262.50 (fee up),17,43,3043.92,-260.73,0.0,0.0,0.0,-0.0
2022-07,Kayak Group,$262.50-500 (about even),57,76,23789.31,-418.39,0.0,0.0,0.0,-0.0
2022-07,Kayak Group,>$500 (fee down),374,633,865998.16,6370.36,0.0,0.0,0.0,0.0
2022-07,Other,<$262.50 (fee up),16,17,2952.16,97.63,0.0,0.0,0.0,0.0
2022-07,Other,$262.50-500 (about even),22,35,7728.97,175.07,0.0,0.0,0.0,0.0
2022-07,Other,>$500 (fee down),44,93,71743.55,2445.35,0.0,0.0,0.0,0.0
2022-08,Aeroprice,<$262.50 (fee up),4166,4999,425540.38,-6033.03,17021.62,43743.0,26721.38,-442.92
2022-08,Aeroprice,$262.50-500 (about even),654,985,239835.89,4384.77,9593.44,9124.73,-468.7,-10.69
2022-08,Aeroprice,>$500 (fee down),1612,2748,2545113.81,34952.38,38334.06,30628.0,-7706.06,-22.05
2022-08,Direct,<$262.50 (fee up),417,510,56502.82,2506.57,0.0,0.0,0.0,0.0
2022-08,Direct,$262.50-500 (about even),130,178,46799.46,2243.8,0.0,0.0,0.0,0.0
2022-08,Direct,>$500 (fee down),414,664,666350.81,17315.4,0.0,0.0,0.0,0.0
2022-08,Google Flights,<$262.50 (fee up),992,1106,140530.22,2281.46,0.0,0.0,0.0,0.0
2022-08,Google Flights,$262.50-500 (about even),740,866,286575.25,6555.37,0.0,0.0,0.0,0.0
2022-08,Google Flights,>$500 (fee down),2965,4258,4427522.75,69491.06,0.0,0.0,0.0,0.0
2022-08,Jetcost,<$262.50 (fee up),29,43,4523.33,50.41,0.0,0.0,0.0,0.0
2022-08,Jetcost,$262.50-500 (about even),25,51,9631.42,500.17,0.0,0.0,0.0,0.0
2022-08,Jetcost,>$500 (fee down),38,77,38975.64,493.4,0.0,0.0,0.0,0.0
2022-08,Jetradar,<$262.50 (fee up),32,39,6275.09,488.69,0.0,0.0,0.0,0.0
2022-08,Jetradar,$262.50-500 (about even),39,58,14516.63,300.42,0.0,0.0,0.0,0.0
2022-08,Jetradar,>$500 (fee down),95,193,113847.78,3035.44,0.0,0.0,0.0,0.0
2022-08,Kayak Group,<$262.50 (fee up),12,25,1742.61,-106.91,0.0,0.0,0.0,-0.0
2022-08,Kayak Group,$262.50-500 (about even),48,62,19804.39,-479.36,0.0,0.0,0.0,-0.0
2022-08,Kayak Group,>$500 (fee down),380,688,921804.76,10089.86,0.0,0.0,0.0,0.0
2022-08,Other,<$262.50 (fee up),24,30,3590.18,260.64,0.0,0.0,0.0,0.0
2022-08,Other,$262.50-500 (about even),15,21,6065.47,162.03,0.0,0.0,0.0,0.0
2022-08,Other,>$500 (fee down),27,50,42246.23,921.09,0.0,0.0,0.0,0.0
2022-09,Aeroprice,<$262.50 (fee up),3069,3640,343742.65,1299.93,13749.71,32224.5,18474.79,1421.22
2022-09,Aeroprice,$262.50-500 (about even),652,942,241431.47,2733.04,9657.26,9188.59,-468.67,-17.15
2022-09,Aeroprice,>$500 (fee down),1861,3142,3048478.31,32990.7,44267.92,35359.0,-8908.92,-27.0
2022-09,Direct,<$262.50 (fee up),390,481,52461.94,1681.4,0.0,0.0,0.0,0.0
2022-09,Direct,$262.50-500 (about even),138,196,50808.72,2770.9,0.0,0.0,0.0,0.0
2022-09,Direct,>$500 (fee down),436,754,645344.32,22378.11,0.0,0.0,0.0,0.0
2022-09,Google Flights,<$262.50 (fee up),1279,1657,153286.18,2538.01,0.0,0.0,0.0,0.0
2022-09,Google Flights,$262.50-500 (about even),557,692,213537.82,4526.02,0.0,0.0,0.0,0.0
2022-09,Google Flights,>$500 (fee down),2688,3994,4116212.84,63037.99,0.0,0.0,0.0,0.0
2022-09,Jetcost,<$262.50 (fee up),22,27,3525.56,267.11,0.0,0.0,0.0,0.0
2022-09,Jetcost,$262.50-500 (about even),23,32,8987.36,501.29,0.0,0.0,0.0,0.0
2022-09,Jetcost,>$500 (fee down),41,90,57243.24,255.34,0.0,0.0,0.0,0.0
2022-09,Jetradar,<$262.50 (fee up),47,65,8094.02,528.68,0.0,0.0,0.0,0.0
2022-09,Jetradar,$262.50-500 (about even),42,70,15014.87,282.34,0.0,0.0,0.0,0.0
2022-09,Jetradar,>$500 (fee down),92,184,114821.63,3175.8,0.0,0.0,0.0,0.0
2022-09,Kayak Group,<$262.50 (fee up),7,18,1183.33,-76.47,0.0,0.0,0.0,-0.0
2022-09,Kayak Group,$262.50-500 (about even),42,46,18068.78,-691.07,0.0,0.0,0.0,-0.0
2022-09,Kayak Group,>$500 (fee down),499,831,1178373.43,13907.67,0.0,0.0,0.0,0.0
2022-09,Other,<$262.50 (fee up),23,28,3824.48,60.24,0.0,0.0,0.0,0.0
2022-09,Other,$262.50-500 (about even),26,34,9516.38,106.01,0.0,0.0,0.0,0.0
2022-09,Other,>$500 (fee down),49,75,58701.74,1184.16,0.0,0.0,0.0,0.0
2022-10,Aeroprice,<$262.50 (fee up),1779,2269,227730.75,-3138.18,9109.23,18679.5,9570.27,-304.96
2022-10,Aeroprice,$262.50-500 (about even),755,1167,279290.2,3209.97,11171.61,10630.29,-541.32,-16.86
2022-10,Aeroprice,>$500 (fee down),2057,3593,3350432.57,51481.35,48958.69,39083.0,-9875.69,-19.18
2022-10,Direct,<$262.50 (fee up),251,305,34321.02,449.35,0.0,0.0,0.0,0.0
2022-10,Direct,$262.50-500 (about even),113,186,41720.2,1873.4,0.0,0.0,0.0,0.0
2022-10,Direct,>$500 (fee down),487,825,795954.55,23134.74,0.0,0.0,0.0,0.0
2022-10,Google Flights,<$262.50 (fee up),1269,1830,147774.08,-429.24,0.0,0.0,0.0,-0.0
2022-10,Google Flights,$262.50-500 (about even),452,662,172434.58,3544.65,0.0,0.0,0.0,0.0
2022-10,Google Flights,>$500 (fee down),2614,3782,4224084.83,96626.05,0.0,0.0,0.0,0.0
2022-10,Jetcost,<$262.50 (fee up),13,28,2246.02,111.07,0.0,0.0,0.0,0.0
2022-10,Jetcost,$262.50-500 (about even),8,21,2957.1,261.1,0.0,0.0,0.0,0.0
2022-10,Jetcost,>$500 (fee down),25,48,26589.45,904.43,0.0,0.0,0.0,0.0
2022-10,Jetradar,<$262.50 (fee up),32,46,5483.41,138.45,0.0,0.0,0.0,0.0
2022-10,Jetradar,$262.50-500 (about even),43,66,15888.0,307.59,0.0,0.0,0.0,0.0
2022-10,Jetradar,>$500 (fee down),65,139,70078.44,1817.47,0.0,0.0,0.0,0.0
2022-10,Kayak Group,<$262.50 (fee up),4,6,674.66,52.91,0.0,0.0,0.0,0.0
2022-10,Kayak Group,$262.50-500 (about even),33,45,13803.23,-359.4,0.0,0.0,0.0,-0.0
2022-10,Kayak Group,>$500 (fee down),652,1073,1738551.94,21961.23,0.0,0.0,0.0,0.0
